eccentricity	inclination	object_name	semimajor_axis
0.0778972	20.8684853022	434	1.9442639
0.08341	20.8470499802	1103	1.9336166
0.0754508	20.9799541812	1919	1.9360103
0.0870464	20.6887706421	1920	1.9299628
0.0831303	20.9905275467	3483	1.9326262
0.080599	20.6620394284	3880	1.9472896
0.0712032	20.6237788013	4031	1.9341921
0.0664605	20.9828444465	4464	1.9523624
0.0804514	20.2779143327	4690	1.9374772
0.0764338	21.2018700766	4765	1.9454201
0.0789089	20.9925588478	4868	1.9605854
0.0729353	21.213319696	5378	1.9341529
0.0849948	21.1625130146	5427	1.9316952
0.0653106	21.5232469327	5477	1.9172256
0.0755211	20.5532584678	5558	1.935404
0.0727603	21.01443851	5967	1.9416692
0.0865474	21.2687120196	6029	1.9271976
0.0912716	20.7324877057	6163	1.9271567
0.0838814	20.9453183003	6250	1.9326554
0.0835482	21.3780948979	6435	1.9194607
0.0727308	21.1245668647	6447	1.9520329
0.0656847	20.9280555068	6461	1.9525539
0.0675966	20.4549992231	6517	1.9261022
0.0703135	21.1023086603	7488	1.9587848
0.0815214	20.3305082783	7560	1.9550376
0.0750406	20.6463274668	7579	1.9784506
0.0771033	20.9403061186	7781	1.9566373
0.0797444	20.2027351624	7783	1.9343132
0.0662588	20.7611492317	7829	1.95193
0.0752372	20.9634236743	7959	1.9428891
0.0693814	20.5012000735	8404	1.9680951
0.0710462	20.9363553862	10531	1.9618862
0.0712459	21.1000240667	10667	1.9641416
0.0802147	20.3326713113	11058	1.95401
0.0817651	20.2614537556	11217	1.9439826
0.0665476	21.0435529509	11304	1.9291342
0.0682467	20.9415821538	11833	1.9628124
0.0648138	20.9200750512	12267	1.9284404
0.0695656	20.9988308942	13186	1.9477741
0.0824159	20.6786961269	13245	1.938104
0.0777153	21.7646491738	13478	1.9225057
0.0814634	21.1603135066	13578	1.9439782
0.0829594	21.0228413985	14395	1.962706
0.0774939	20.653711764	14764	1.9487105
0.0661008	20.815779262	15692	1.9262387
0.0751695	21.131593879	15822	1.9480057
0.07912	20.5325406658	16585	1.9235301
0.0661454	20.9156648203	16589	1.9338703
0.076848	21.1887867618	17083	1.9580293
0.0848308	21.0816564736	17259	1.9550371
0.0723218	21.5305763948	17657	1.9272766
0.0611814	20.8354138906	18626	1.9130609
0.0713506	21.2221702519	20043	1.9692248
0.0927171	21.0238848874	20136	1.930558
0.0721308	20.7026004582	21261	1.9432162
0.0753165	21.4430411774	23452	1.9616192
0.0781005	20.8466821238	23715	1.9312621
0.0686912	20.9802548644	23998	1.934517
0.0671944	20.989140632	24042	1.954891
0.0816006	20.2824405342	24077	1.9610962
0.073319	20.7868070716	24465	1.9254115
0.0660179	21.0556656942	24481	1.9191307
0.0936247	20.5077698712	24687	1.9513795
0.0739055	21.1615115586	24702	1.9447553
0.0760006	20.9971493217	24778	1.9471427
0.0790081	20.8616975284	25076	1.9245497
0.0697241	21.4531121915	25337	1.9192126
0.0634893	20.8488708828	25340	1.9677777
0.0781339	20.7768669756	25884	1.9543197
0.0753065	21.4776955287	26383	1.9417468
0.0926571	20.9824762568	27266	1.9196041
0.0740175	20.5447898952	27298	1.9556161
0.0854404	20.8136951869	27601	1.9340573
0.083503	20.9194064543	27713	1.9313485
0.0738582	20.9111197806	27810	1.9342418
0.0789535	20.9622088093	28441	1.9363236
0.0754476	20.8446711912	29298	1.9285176
0.0810574	20.5873883922	29308	1.9261603
0.0901713	21.2174621817	29421	1.9353948
