    Object      Image   Exp_time               RA              DEC             time       filter
70016 1774991p 387 12.4950399294 3.18024923977 57040.2304544 r.MP9601
97333 1645163p 287 213.783854525 -12.6452784913 56506.2585179 r.MP9601
97333 1645695p 287 214.315120662 -13.1862249773 56509.2711127 r.MP9601
100048 1741553p 287 22.7667807521 12.6799812518 56918.3793141 r.MP9601
100048 1741564p 287 22.7566259922 12.6848257244 56918.4240323 r.MP9601
100048 1742016p 287 21.537037525 13.2129128941 56923.4805718 r.MP9601
104346 1657922p 287 14.0216519288 3.99519328181 56571.379721 r.MP9601
104346 1657938p 287 14.0058250763 3.99546153355 56571.4441014 r.MP9601
104346 1658280p 287 13.2539835002 4.0087695924 56574.504149 r.MP9601
104346 1658281p 287 13.2528449074 4.00879153807 56574.5087963 r.MP9601
117507 1668258p 287 15.2521911341 3.32171733554 56601.4510565 r.MP9601
117507 1671649p 287 12.0385715071 4.11757440509 56623.2673822 r.MP9601
117507 1671659p 287 12.0343830136 4.11989722744 56623.3118618 r.MP9601
117507 1672594p 287 11.440462623 4.5775380248 56631.2257008 r.MP9601
117572 1650816p 287 17.4266948563 4.41792930895 56534.4529108 r.MP9601
117572 1650817p 287 17.4265030806 4.41697636143 56534.4576557 r.MP9601
117572 1651033p 287 17.3837025018 4.21516749286 56535.4555818 r.MP9601
117572 1651049p 287 17.3806938769 4.20178367064 56535.5212245 r.MP9601
130336 1751776p 287 13.3178815772 2.98351451185 56953.311099 r.MP9601
130336 1752345p 287 12.6977515166 2.28510359317 56957.2816566 r.MP9601
130336 1752346p 287 12.6971694258 2.28443526661 56957.2855372 r.MP9601
157074 1774676p 387 10.9095906101 3.30979725933 57039.2538797 r.MP9601
157074 1774994p 387 11.1251027099 3.50644315444 57040.2457158 r.MP9601
159525 1734910p 287 17.4991209935 6.07141902339 56891.5681404 r.MP9601
159525 1734914p 387 17.4983094481 6.06905410767 56891.5882198 r.MP9601
159525 1736287p 287 17.181887037 5.33757636128 56897.4262031 r.MP9601
189152 1729485p 287 26.624788028 15.8254201094 56864.5336882 r.MP9601
189152 1729485p 287 26.624788028 15.8254201094 56864.5336882 r.MP9601
189152 1729496p 287 26.6327977678 15.8247121324 56864.5768868 r.MP9601
196072 1756822p 387 45.5502461881 14.510809838 56978.2865738 r.MP9601
196072 1756844p 387 45.5286718489 14.4927707896 56978.395352 r.MP9601
196072 1756869p 387 45.5061024046 14.4738996996 56978.5091475 r.MP9601
196072 1757105p 500 45.1543128591 14.1788088148 56980.3003207 r.MP9601
218285 1691672p 287 212.446869211 -14.0639877556 56712.5623421 r.MP9601
218285 1691902p 287 212.479168362 -13.9892401352 56713.5200542 r.MP9601
218285 1691905p 287 212.479539861 -13.9882957024 56713.5319422 r.MP9601
218285 1691913p 387 212.48066335 -13.9854395421 56713.5678939 r.MP9601
218285 1691923p 387 212.481967839 -13.9821232426 56713.6096375 r.MP9601
218285 1692176p 287 212.533563107 -13.8147983495 56715.6310291 r.MP9601
218285 1692179p 287 212.533808513 -13.8137938185 56715.6428086 r.MP9601
226079 1635768p 287 210.351391138 -10.6649600256 56477.2910267 r.MP9601
226079 1636126p 287 210.570829408 -10.504778758 56479.2985273 r.MP9601
243644 1611930p 287 215.193236991 -12.9210482212 56358.5376891 r.MP9601
243644 1611943p 287 215.190886643 -12.9146540101 56358.5946672 r.MP9601
246131 1774681p 387 14.3217911809 4.67832443363 57039.2793592 r.MP9601
273162 1651190p 287 21.2003071697 12.2349477732 56536.5295826 r.MP9601
273162 1651200p 287 21.1977013256 12.2305021924 56536.5684274 r.MP9601
273162 1651360p 287 21.1319245546 12.1205249982 56537.5168484 r.MP9601
273162 1651372p 287 21.1283935127 12.1147156427 56537.5664068 r.MP9601
275304 1630538p 287 236.791511121 -10.4255580971 56447.3809342 r.MP9601
276473 1715390p 287 216.103423288 -12.0614499461 56799.4381615 r.MP9601
277726 1735252p 287 25.7751219749 14.1851507892 56893.4538891 r.MP9601
277726 1735268p 287 25.7699161395 14.1909213602 56893.5278181 r.MP9601
277726 1736560p 287 25.259453228 14.6283070096 56899.4321636 r.MP9601
277726 1736589p 287 25.2483516715 14.6358885604 56899.5404715 r.MP9601
277749 1735259p 287 27.7985385971 15.8227519588 56893.4858679 r.MP9601
277749 1735275p 287 27.7944297491 15.8290657914 56893.5558057 r.MP9601
277749 1736567p 287 27.3498088139 16.3409529499 56899.4611766 r.MP9601
277749 1736596p 287 27.3400375831 16.3497766674 56899.5677718 r.MP9601
306174 1645486p 287 220.056000098 -15.4439112105 56508.2800009 r.MP9601
314499 1626163p 287 214.210287807 -11.2849539831 56423.4701767 r.MP9601
317761 1735256p 287 26.4352317941 16.0668074194 56893.4742297 r.MP9601
317761 1735272p 287 26.4312107096 16.0773554816 56893.5441616 r.MP9601
320241 1625237p 287 237.350613669 -11.1217900796 56419.4479075 r.MP9601
320241 1625247p 287 237.342492261 -11.1127294614 56419.4921056 r.MP9601
320241 1625257p 287 237.335105033 -11.1044879284 56419.5323082 r.MP9601
320241 1625627p 287 236.97139198 -10.7037358713 56421.4925761 r.MP9601
320241 1625899p 287 236.78418736 -10.5011021306 56422.4877491 r.MP9601
324732 1734906p 287 17.6136198177 5.04768208788 56891.5526193 r.MP9601
324732 1734909p 287 17.6123005412 5.04830615741 56891.5642599 r.MP9601
327094 1635442p 287 239.399705858 -11.0548286244 56475.3729157 r.MP9601
327094 1635782p 287 239.142578619 -11.2192119018 56477.3515326 r.MP9601
336939 1658263p 287 19.4345362658 10.7606160698 56574.4124706 r.MP9601
336939 1658264p 287 19.4319317893 10.7580412378 56574.4277164 r.MP9601
336939 1658265p 287 19.4312548375 10.7573719911 56574.431679 r.MP9601
336939 1658266p 287 19.4288616098 10.7550060034 56574.4456881 r.MP9601
336939 1658266p 287 19.4288616098 10.7550060034 56574.4456881 r.MP9601
336939 1671896p 287 13.3401481862 3.34157518134 56625.2239299 r.MP9601
336939 1672374p 287 13.2846897319 2.9221412794 56630.2510713 r.MP9601
336939 1672386p 287 13.2847885036 2.91855915667 56630.2984817 r.MP9601
336939 1672387p 287 13.284798083 2.91821174423 56630.3030799 r.MP9601
336939 1672599p 287 13.2880152861 2.84741810618 56631.2492169 r.MP9601
352632 1705085p 287 242.513495387 -13.4591418163 56778.4336619 r.MP9601
352632 1705098p 287 242.50196182 -13.4624817895 56778.4848274 r.MP9601
352632 1705112p 287 242.488323579 -13.4664312495 56778.5453298 r.MP9601
352632 1705565p 287 241.825908351 -13.6548293085 56781.4116549 r.MP9601
352632 1705578p 287 241.813949183 -13.6581840515 56781.4621866 r.MP9601
352632 1705591p 287 241.801952309 -13.6615493718 56781.5128776 r.MP9601
363521 1615912p 287 213.098407535 -11.0068251484 56386.437702 r.MP9601
363521 1615922p 287 213.09239378 -11.0003046168 56386.4782442 r.MP9601
363521 1615932p 287 213.086399739 -10.9938054602 56386.5186534 r.MP9601
363712 1630543p 287 239.120206514 -11.7126521694 56447.4011595 r.MP9601
363712 1630873p 287 238.760303557 -11.4975835776 56449.4086591 r.MP9601
364548 1616940p 287 242.275002275 -13.6197830935 56392.5972604 r.MP9601
364548 1617912p 287 241.276729487 -12.4910435165 56401.4600922 r.MP9601
364548 1617925p 287 241.269744078 -12.4841389062 56401.5129786 r.MP9601
364993 1735252p 287 25.3894409821 13.9357422546 56893.4538891 r.MP9601
364993 1735268p 287 25.3926753769 13.9260904098 56893.5278181 r.MP9601
364993 1736559p 287 25.5414267471 13.0855212724 56899.4282795 r.MP9601
