Object	Image	Exp_time	RA	DEC	time	filter
25076	1735257p	287	27.6547703503	14.3905499921	56893.4781096	r.MP9601
25076	1735273p	287	27.6688159632	14.3763683912	56893.5480463	r.MP9601
39665	1631610p	287	209.263664212	-10.5522850698	56456.2575544	r.MP9601
39665	1631620p	287	209.25871897	-10.5608432749	56456.2982002	r.MP9601
82151	1778498p	387	217.160760552	-13.850911653	57048.642903	r.MP9601
106111	1645693p	287	213.535895766	-11.4336704982	56509.2632026	r.MP9601
111753	1774672p	387	10.8290458137	2.05485003172	57039.233382	r.MP9601
111997	1735071p	287	21.8771232501	13.0424691724	56892.5680553	r.MP9601
111997	1735083p	287	21.8798821667	13.0351642395	56892.6150156	r.MP9601
111997	1736161p	287	22.0441358594	12.388260937	56896.460401	r.MP9601
111997	1736198p	287	22.0480049375	12.3624670831	56896.6032592	r.MP9601
116757	1671648p	287	11.6201779886	2.7873676957	56623.2635024	r.MP9601
116757	1671658p	287	11.6176760485	2.79859862673	56623.3079814	r.MP9601
118381	1681665p	287	21.1363778657	13.3283497038	56655.243085	r.MP9601
118381	1681849p	287	21.2670550849	13.5777936017	56656.3342126	r.MP9601
124112	1691671p	287	213.081350953	-12.3698088749	56712.5584598	r.MP9601
124112	1691904p	287	213.265828449	-12.1785885073	56713.5278135	r.MP9601
124112	1692177p	287	213.642061232	-11.7389755081	56715.6349074	r.MP9601
129991	1705709p	287	238.66680024	-12.2951419125	56782.4663755	r.MP9601
129991	1705710p	287	238.665134404	-12.2958232751	56782.4709604	r.MP9601
129991	1705892p	287	238.318999999	-12.4368883268	56783.4155231	r.MP9601
129991	1705907p	287	238.294234691	-12.4469355947	56783.482381	r.MP9601
129991	1705922p	287	238.266038945	-12.4583745889	56783.5585	r.MP9601
133911	1691927p	387	239.918373081	-14.2557914853	56713.6303013	r.MP9601
133911	1692362p	387	241.048863006	-13.8121505966	56716.6586506	r.MP9601
139620	1774679p	387	17.2282336526	3.59937605325	57039.269152	r.MP9601
147436	1645182p	287	242.472105507	-13.561701649	56506.3341403	r.MP9601
147436	1645708p	287	243.095059105	-13.3620495506	56509.3240797	r.MP9601
147436	1645961p	287	243.533412437	-13.2465379161	56511.2837362	r.MP9601
147436	1645962p	287	243.534480752	-13.2462820863	56511.2883643	r.MP9601
147436	1645963p	287	243.535721534	-13.2459849556	56511.2937395	r.MP9601
147436	1645964p	287	243.536963816	-13.2456874656	56511.2991212	r.MP9601
147436	1646362p	287	243.998504184	-13.1418721853	56513.2584365	r.MP9601
159176	1667387p	287	19.2381491001	12.7921465106	56594.4487873	r.MP9601
159176	1667550p	287	19.0653809829	12.4530305967	56595.3611786	r.MP9601
159176	1667560p	287	19.0581642427	12.4386618406	56595.400013	r.MP9601
159176	1667876p	287	18.7105920654	11.7309768065	56597.3291061	r.MP9601
159176	1667904p	387	18.687102399	11.6817334093	56597.46495	r.MP9601
204248	1672749p	387	12.9160368614	2.09011356163	56632.2262243	r.MP9601
204248	1672750p	387	12.9160599356	2.09126587587	56632.2312587	r.MP9601
204248	1672754p	387	12.9161404786	2.09528814201	56632.2488317	r.MP9601
204248	1672758p	387	12.9163011005	2.10330950586	56632.2838765	r.MP9601
204248	1672759p	387	12.9163241766	2.10446190845	56632.2889113	r.MP9601
204248	1672780p	387	12.9165716252	2.1168193426	56632.3429	r.MP9601
204248	1672810p	387	12.9168170866	2.12907753548	56632.3964553	r.MP9601
208874	1671903p	387	23.4475947981	14.5962761319	56625.2594585	r.MP9601
237888	1646366p	287	244.480961134	-12.5453825083	56513.2740149	r.MP9601
251340	1671730p	387	22.4089453285	13.9937294762	56624.286966	r.MP9601
251340	1672408p	287	22.3577246392	12.5491573904	56630.386232	r.MP9601
258019	1646431p	287	23.8429300499	13.9882580834	56513.4952085	r.MP9601
258019	1646442p	287	23.8465847252	13.99775059	56513.5386304	r.MP9601
259970	1667558p	287	19.5791774163	12.0682241114	56595.392224	r.MP9601
259970	1667876p	287	19.1912356877	11.435164267	56597.3291061	r.MP9601
259970	1667904p	387	19.164915941	11.3912036864	56597.46495	r.MP9601
