eccentricity	inclination	objectname	occurance	semimajor_axis
0.0828499	20.5077515194	204248	7	1.9486352
0.0738731	20.6437803961	237888	1	1.960189
0.0790081	20.8616975284	25076	2	1.9245497
0.0800828	20.965166225	339120	2	1.9308315
0.0858196	20.9876984998	116757	2	1.9519569
0.0700549	21.0148313298	258019	2	1.9700471
0.0900359	20.4730705759	111753	1	1.9527883
0.0649952	21.6290549987	129991	5	1.9136667
0.0770699	21.520931146	133911	2	1.9045716
0.0691363	21.179446635	159176	5	1.9232358
0.0831417	20.2122046007	106111	1	1.9587911
0.0782125	20.881460798	306013	3	1.9580153
0.073953	20.4827767797	82151	1	1.9489802
0.086561	21.4377166252	124112	3	1.8982594
0.0970316	21.8734193013	139620	1	1.9067991
0.0730482	21.432853909	118381	2	1.8997486
0.0903598	20.5073600153	283374	4	1.9310519
0.0784712	20.5479777927	111997	4	1.9622355
0.0911606	20.9509196272	147436	7	1.9219109
0.0671836	21.6369815489	299121	7	1.9154613
0.0815369	20.843696389	39665	2	1.9308233
0.0753279	20.4159833566	310240	5	1.9507185
0.0801014	20.7366168854	259970	3	1.9416678
0.0811619	20.4316227551	251340	2	1.905568
0.0711772	21.2422211834	208874	1	1.9653938
