Object	Image	Exp_time	RA	DEC	time	filter
25	1617721p	287	240.919467322	-12.5334029473	56399.4875248	r.MP9601
25	1617722p	287	240.919161573	-12.5319524882	56399.4928422	r.MP9601
25	1617913p	287	240.79096723	-11.9866144065	56401.4640832	r.MP9601
25	1617926p	287	240.787087064	-11.9717551335	56401.5169946	r.MP9601
223	1626156p	287	211.974811592	-12.4831605071	56423.4418298	r.MP9601
223	1626292p	287	211.800652022	-12.431820193	56424.4396028	r.MP9601
223	1636121p	287	209.003960514	-11.9006748662	56479.2780879	r.MP9601
223	1645691p	287	213.201870033	-13.5567702036	56509.2553622	r.MP9601
268	1722363p	287	13.8497417252	3.73755429072	56833.5888678	r.MP9601
268	1722510p	287	14.0207446297	3.79666876394	56834.5877135	r.MP9601
268	1729012p	287	17.531350993	4.86224483492	56862.5452878	r.MP9601
268	1729716p	287	17.7428815442	4.90259222374	56865.5876844	r.MP9601
268	1734907p	287	17.9191641461	4.56863845774	56891.5565004	r.MP9601
268	1736284p	287	17.5356931857	4.3238758908	56897.4144781	r.MP9601
268	1774672p	387	10.6409950885	2.03666169008	57039.233382	r.MP9601
450	1736284p	287	17.4011811206	4.22360203819	56897.4144781	r.MP9601
468	1715377p	287	212.702812385	-13.4109793347	56799.3855021	r.MP9601
480	1775272p	387	20.0074416668	13.3076312912	57041.2631838	r.MP9601
480	1775281p	387	20.0206851876	13.307120205	57041.3091815	r.MP9601
480	1778896p	287	22.7156193394	13.291225637	57050.2555963	r.MP9601
710	1645244p	287	17.6486096184	5.9966311848	56506.5396484	r.MP9601
710	1645255p	287	17.6504770171	5.99689202779	56506.5823318	r.MP9601
710	1650818p	287	16.9924230584	5.40240766666	56534.4616805	r.MP9601
710	1650819p	287	16.9919994143	5.4021812025	56534.4663659	r.MP9601
710	1650820p	287	16.9915736719	5.40195361673	56534.4710746	r.MP9601
710	1650821p	287	16.9911428136	5.40172329614	56534.4758398	r.MP9601
710	1651034p	287	16.9002878042	5.35341327878	56535.4595122	r.MP9601
710	1651050p	287	16.8940840228	5.35013374676	56535.5251028	r.MP9601
710	1651678p	287	16.4902301377	5.14188135329	56539.427584	r.MP9601
710	1651689p	287	16.4854002587	5.13944852535	56539.4705162	r.MP9601
710	1651691p	287	16.4844406085	5.13896514603	56539.4790464	r.MP9601
710	1651694p	287	16.4824687834	5.1379719304	56539.4965738	r.MP9601
710	1651695p	287	16.48180808	5.13763913165	56539.5024467	r.MP9601
710	1651700p	287	16.4794917394	5.13647238232	56539.5230364	r.MP9601
710	1656880p	287	12.6792796349	3.34613769517	56564.3273184	r.MP9601
710	1656881p	287	12.6783982467	3.34574008664	56564.3322037	r.MP9601
710	1656892p	287	12.6704133551	3.34213797235	56564.3764618	r.MP9601
710	1656902p	287	12.6633652201	3.33895844417	56564.4155276	r.MP9601
710	1657313p	287	12.1169742075	3.09351281128	56567.4229724	r.MP9601
710	1657483p	287	11.7350499586	2.92312271001	56569.5145333	r.MP9601
710	1657485p	287	11.7335055232	2.92243551249	56569.5229766	r.MP9601
710	1657486p	287	11.7326168279	2.92204008692	56569.5278351	r.MP9601
710	1658277p	287	10.8294797068	2.5229555552	56574.4924912	r.MP9601
720	1728791p	287	14.6454095005	4.32296828286	56861.5519312	r.MP9601
720	1729702p	287	15.0235039484	4.47146244149	56865.531114	r.MP9601
720	1734919p	387	15.4988809786	4.64555239142	56891.6134852	r.MP9601
720	1736293p	287	15.096111699	4.48720890152	56897.4503996	r.MP9601
