Object	Image	Exp_time	RA	DEC	time	filter
2153	1645486p	287	219.483433462	-15.6562111528	56508.2800009	r.MP9601
2153	1646183p	287	220.061312158	-15.8425442134	56512.2736316	r.MP9601
2153	1646184p	287	220.061907924	-15.8427352056	56512.2775383	r.MP9601
2169	1615937p	287	215.273779375	-12.4350527514	56386.5386638	r.MP9601
2169	1616320p	287	214.765417853	-12.2696441467	56389.4031826	r.MP9601
2169	1616331p	287	214.757423104	-12.2670460049	56389.4468896	r.MP9601
2169	1616331p	287	214.757423104	-12.2670460049	56389.4468896	r.MP9601
2169	1616507p	287	214.574952083	-12.2076722562	56390.4355246	r.MP9601
2169	1616518p	287	214.566509862	-12.2049209967	56390.4807507	r.MP9601
2169	1616685p	287	214.397143482	-12.1497704806	56391.3821003	r.MP9601
2220	1722738p	287	18.473462079	5.09686185826	56835.6055923	r.MP9601
2220	1722901p	287	18.7646607364	5.20098722131	56836.6106577	r.MP9601
2220	1752198p	287	22.8946258316	5.47772808297	56956.4360134	r.MP9601
2220	1752368p	287	22.7198780394	5.42165484955	56957.3793485	r.MP9601
2222	1631357p	287	215.056358145	-11.4347382437	56455.3795791	r.MP9601
2222	1631368p	287	215.052773706	-11.4342072157	56455.4250958	r.MP9601
2222	1635780p	287	214.415120228	-11.55197758	56477.3389911	r.MP9601
2222	1636138p	287	214.464996446	-11.5989553713	56479.3471037	r.MP9601
2222	1645479p	287	216.995155306	-12.8389271116	56508.251837	r.MP9601
2222	1646176p	287	217.582584371	-13.0784927768	56512.2458288	r.MP9601
2222	1646180p	287	217.585038956	-13.0794719645	56512.2617075	r.MP9601
2240	1691686p	287	219.157988519	-14.7036442293	56712.6167492	r.MP9601
2240	1691921p	287	219.183661877	-14.7111097349	56713.5998018	r.MP9601
2240	1692340p	287	219.229981438	-14.7242728278	56716.5477725	r.MP9601
2250	1667735p	287	16.4561000323	5.19284907722	56596.262247	r.MP9601
2250	1667746p	287	16.4497287597	5.19017648345	56596.3051994	r.MP9601
2250	1667757p	287	16.4433887206	5.18751699141	56596.3479412	r.MP9601
2250	1667866p	287	16.3047595784	5.12944301676	56597.2890144	r.MP9601
2250	1667868p	287	16.3035170009	5.12892408593	56597.2975839	r.MP9601
2250	1667895p	387	16.2859638934	5.12159347783	56597.4186398	r.MP9601
2250	1668262p	287	15.7346400925	4.89244494333	56601.4666572	r.MP9601
2250	1668266p	387	15.7323530153	4.89149700999	56601.484713	r.MP9601
2250	1671897p	287	14.2244723941	4.32645546659	56625.2278122	r.MP9601
2250	1671898p	287	14.2244996267	4.32649026374	56625.2332587	r.MP9601
2250	1671899p	287	14.2245239739	4.32652137411	56625.2381281	r.MP9601
2250	1671907p	287	14.2247309206	4.32678580596	56625.2795175	r.MP9601
2250	1671908p	287	14.2247532527	4.32681434139	56625.2839839	r.MP9601
2250	1671918p	287	14.2248606728	4.32695160037	56625.3054679	r.MP9601
2250	1672378p	287	14.3148574856	4.3872727766	56630.2673823	r.MP9601
2250	1672391p	287	14.3166185958	4.3882584185	56630.3195633	r.MP9601
2310	1645237p	287	15.2242617086	3.65712822803	56506.5124324	r.MP9601
2310	1645248p	287	15.2267369405	3.65728255904	56506.5551702	r.MP9601
2310	1651172p	287	14.7386037646	2.83726325499	56536.4582236	r.MP9601
2310	1651184p	287	14.734232941	2.8345090374	56536.506123	r.MP9601
2315	1778899p	287	23.6295776971	13.3649937331	57050.2674944	r.MP9601
2316	1728418p	287	216.494964909	-12.0321687079	56856.3051189	r.MP9601
2333	1769004p	287	11.5941557357	2.83496420366	57008.3432155	r.MP9601
2342	1751791p	287	13.7766856129	5.84738499822	56953.3718092	r.MP9601
2342	1757901p	287	10.5507002287	4.43415937784	56985.2866514	r.MP9601
2342	1757989p	287	10.537000427	4.42695917233	56986.3129989	r.MP9601
