eccentricity	inclination	objectname	occurance	semimajor_axis
0.0490055	0.648550507323	145203	3	2.7810458
0.0439497	5.47759474338	110008	6	2.7147943
0.0438915	2.16781024759	35239	10	2.8888147
0.1828936	2.27301554923	11543	2	2.3870007
0.1730888	7.49404810149	330107	9	2.5793206
0.1819747	2.03925499462	148150	5	2.3290254
0.1623453	1.23852180633	369653	3	3.1064663
0.0697683	11.2057853142	188752	4	2.9857141
0.0605653	2.14672764743	220760	1	2.9283032
0.166281	11.5976006658	241679	7	2.6241729
0.1730996	1.38383334196	306520	8	2.4260717
0.1555484	2.6712373995	82196	3	2.4035372
0.1630784	1.51551830219	130645	1	2.4314643
0.1678609	1.35518872871	74018	4	2.3759667
0.1731431	1.85344063062	235387	5	3.1519889
0.0883309	6.87079548511	74010	4	2.2886436
0.1399693	1.46362516555	27371	7	3.160678
0.0672248	2.05350208195	46134	10	2.9436065
0.0465502	4.25516567425	382357	2	2.7704674
0.2035853	4.9915256897	98313	7	2.347014
0.1427038	5.65374459301	98315	5	2.3111622
0.1720961	2.53634415621	99999	10	2.4435816
0.1449095	5.21836580081	260291	6	3.1001571
0.1140941	10.0887141535	260297	4	3.0775954
0.0616213	9.32713656847	117256	5	3.089766
0.1897486	2.46443250835	117525	1	2.3639727
0.1602033	2.2645692599	376179	5	2.4489072
0.1979785	8.0112131454	392116	1	2.7812805
0.1088126	3.38502680557	376173	6	2.3950993
0.0629445	9.80619246637	97334	1	3.0095216
0.1747617	26.5021183192	97333	2	3.1218099
0.2105064	4.52305875865	142423	2	2.5862348
0.1659078	2.42928961246	333106	5	2.3903423
0.1388382	8.66048193645	366155	2	2.5685065
0.0577588	9.84725141733	326796	1	3.0667228
0.0957309	7.00533141288	57478	4	2.3418248
0.1426427	0.706383182718	128290	9	3.1594617
0.1660316	1.37005545803	53732	7	2.4412684
0.1934484	2.47215168206	362433	9	2.3978578
0.049007	5.46059217016	15954	5	2.7287907
0.1415241	5.70785692535	333242	6	2.298902
0.1680845	1.31822862186	135699	2	2.4380318
0.0693646	10.413145295	49567	5	3.0907881
0.1588356	1.49213930122	346991	3	2.3830078
0.2239928	26.7019497892	363521	3	3.1912379
0.1510073	1.50335018586	363520	2	2.3978263
0.1816709	2.21646705586	212826	7	2.3649204
0.1078844	9.0992243511	309053	2	3.0409426
0.1820303	2.26802689987	250998	3	2.4499768
0.1796969	3.94852350918	167280	9	2.5898518
0.1270811	9.13974038908	349359	7	2.8104997
0.1719299	4.40934802126	81750	7	2.7954716
0.1655107	1.33907843227	153802	1	2.4275583
0.1385978	5.23257691967	274016	10	3.160872
0.1694626	2.25221815554	44791	1	2.4236419
0.114517	5.42236404054	159840	1	3.1282551
0.1526271	2.30659477052	310542	3	2.387459
0.1549488	12.6765371119	147876	5	2.6458774
0.0451804	2.11366232093	139930	3	2.8560779
0.0706844	3.74028887043	58077	8	2.7773837
0.1322681	13.059359555	46862	2	2.5453305
0.1845735	2.08856708602	215057	4	2.3335527
0.0945733	10.5757491672	157072	5	3.0104279
0.1572583	3.50026752401	84694	3	2.5622576
0.1285182	13.3041367492	99192	3	2.6252209
0.0908718	6.6926020882	90317	1	2.3431084
0.1478015	12.869376917	2685	5	2.5680229
0.1072756	5.99954122535	71286	7	2.4239087
0.1219049	1.37903055973	291024	2	3.1129546
0.0935218	6.75502546821	71825	1	2.3333114
0.069833	9.57033947158	163504	6	3.0991842
0.1311465	5.15418387022	68283	7	3.1980783
0.0951256	6.962644453	294035	4	2.3266785
0.0473826	0.593365699049	353674	3	2.8059613
0.1607	13.4480369438	104844	5	2.6431431
0.148377	12.4751816857	363385	4	2.6811231
0.1732201	2.5956531928	313387	3	2.4630253
0.1090555	6.50370717361	13058	16	2.3582493
0.0916794	7.44114511796	71882	12	2.3376787
0.1432447	5.6985921737	112041	11	2.2784074
0.155364	1.49284427847	89611	5	2.3960588
0.1502186	2.5495695869	132348	1	2.460469
0.1760872	17.2218483097	256124	1	2.59949
0.081534	9.29300274456	106725	3	3.1090232
0.2340216	13.4074683364	207287	6	2.6821613
0.0737566	3.88105499853	300815	3	2.787684
0.0560832	2.11776176372	290484	2	2.8785339
0.0498192	4.35590668021	186619	1	2.7902503
0.0930871	6.33177941381	183224	2	2.3866344
0.0638571	9.47579337687	379033	12	3.1676422
0.070139	2.78819622639	175083	2	2.6563019
0.1774567	1.10599181946	40742	7	3.1174207
0.1405277	0.957319507632	40743	8	3.0988326
0.094047	7.22561142715	243764	5	2.2668948
0.1338753	17.2311282505	29815	1	2.8085131
0.0993209	27.4318345708	83612	3	2.6625641
0.1656086	2.24881789313	340921	1	2.4255499
0.1236057	5.48260811979	182939	7	3.2037434
0.1830982	2.19611769852	182937	3	2.3754839
0.1789314	12.9231356613	179856	2	2.6443257
0.1084951	6.61973490157	205930	2	2.3910827
0.1547027	1.4789683042	175888	3	2.4183956
0.1040857	6.77601583765	194487	2	2.3463493
0.1909319	2.19248821427	183081	4	2.3758401
0.14918	2.43634908577	156039	1	2.4327731
0.0139397	6.10283090124	29109	1	2.7101166
