Object	Image	Exp_time	RA	DEC	time	filter
238P	1691671p	287	213.243646828	-12.6084666789	56712.5584598	r.MP9601
238P	1691904p	287	213.222244506	-12.6005861019	56713.5278135	r.MP9601
238P	1692178p	287	213.161206933	-12.5786585376	56715.638792	r.MP9601
P-2012-F5	1645489p	287	243.894173153	-12.7428124891	56508.2929683	r.MP9601
P-2012-F5	1645961p	287	244.088008877	-12.8262110479	56511.2837362	r.MP9601
P-2012-F5	1645962p	287	244.088350198	-12.8263486046	56511.2883643	r.MP9601
P-2012-F5	1645963p	287	244.088746621	-12.8265083684	56511.2937395	r.MP9601
P-2012-F5	1645964p	287	244.089143524	-12.8266683253	56511.2991212	r.MP9601
P-2012-F5	1646362p	287	244.240810723	-12.8862393779	56513.2584365	r.MP9601
2201	1757888p	287	15.3980080457	3.81629205425	56985.236116	r.MP9601
2201	1774681p	387	14.2364115854	4.69026836551	57039.2793592	r.MP9601
comet	942254p	180	342.864754	9.993045	54357.23412	r.MP9601
comet	942265p	180	342.859990	9.991281	54357.26076	r.MP9601
comet	942274p	180	342.856275	9.989905	54357.28153	r.MP9601
comet	942384p	180	342.554361	9.875908	54359.25049	r.MP9601
comet	942385p	180	342.553761	9.875675	54359.25389	r.MP9601
