object expnum ra dec flux mag x y time consistent_f consistent_mag diff_ra diff_dec a b theta
287936 1751559p 21.0232893268 13.6106517517 94508.1796875 19.5603265041 166.177262209 184.540435664 56952.43937 yes yes 0.00842363255629 -0.44630610527 4.21314239502 1.18588018417 -0.691156029701
287936 1751569p 21.0164121707 13.6047396983 131057.992188 19.1993412243 354.204273804 379.569851458 56952.478744 yes yes -0.133814446295 -0.562913936027 4.53152036667 1.594815135 -0.721729278564
287936 1751579p 21.0096197548 13.5988559123 132549.03125 19.173058605 154.612406328 186.593026067 56952.5176602 yes yes -0.131117164025 -0.581284294708 4.46853637695 1.7982840538 -0.716598927975
287936 1752105p 20.5319011578 13.1592369508 208849.359375 19.0524171314 226.447433981 204.111749059 56955.4439466 yes yes -0.544168000759 -0.153022893672 5.9216132164 2.11134624481 -0.725867152214
287936 1751559p 21.0232893268 13.6106517517 94508.1796875 19.5603265041 166.177262209 184.540435664 56952.43937 yes yes 0.00842363255629 -0.44630610527 4.21314239502 1.18588018417 -0.691156029701
287936 1751569p 21.0164121707 13.6047396983 131057.992188 19.1993412243 354.204273804 379.569851458 56952.478744 yes yes -0.133814446295 -0.562913936027 4.53152036667 1.594815135 -0.721729278564
287936 1751579p 21.0096197548 13.5988559123 132549.03125 19.173058605 154.612406328 186.593026067 56952.5176602 yes yes -0.131117164025 -0.581284294708 4.46853637695 1.7982840538 -0.716598927975
287936 1752105p 20.5319011578 13.1592369508 208849.359375 19.0524171314 226.447433981 204.111749059 56955.4439466 yes yes -0.544168000759 -0.153022893672 5.9216132164 2.11134624481 -0.725867152214
304757 1692837p 242.336535945 -14.0245977018 9545.09179688 22.3265497264 168.063362968 187.299407301 56723.573692 yes yes -0.129402744392 0.151726574965 1.90561187267 1.31167149544 0.120420590043
304757 1704851p 238.994662938 -13.6402166601 15426.6806641 21.414318776 210.913387792 208.280876158 56777.4347809 yes yes -0.136577540752 -0.220023794077 3.54191279411 1.87841832638 0.0424218513072
304757 1704864p 238.985206536 -13.6394580252 14905.1601562 21.4596583828 205.715283548 208.297233283 56777.4860851 yes yes -0.143529305944 -0.15110942237 3.26278209686 1.45157492161 0.115768499672
304757 1705715p 238.058984377 -13.5649956242 14265.9091797 21.5922513628 192.910268191 202.888738079 56782.4897442 yes yes -0.0937576540309 -0.215752877273 3.48984837532 1.27180242538 0.0729854106903
