object expnum p_ra p_dec ra dec p_x p_y x y x_mid y_mid xmin xmax ymin ymax a b theta p_f f consistent_f p_mag mag flux consistent_mag date_time
25076 1735257p 27.6585 14.3923055556 27.6583047344 14.3924713432 120.942283439 848.173729373 117.301608837 844.900433045 117.0 844.5 107 127 834 855 5.2041311264 1.68888187408 0.857840359211 4.41807434151 4.92246470746 yes 17.88 17.9450111482 395180.53125 yes 2014-08-24-0.00193449074141
25076 1735273p 27.671625 14.37825 27.6714519964 14.3784014485 356.95995011 851.537955679 353.736145789 848.553894014 353.0 848.0 344 362 838 858 5.13266563416 1.47537374496 0.877752184868 4.40669465286 4.91604809015 yes 17.88 18.0430418797 372892.15625 yes 2014-08-24-0.00193449074141
106111 1645693p 213.533666667 -11.4335277778 213.533493057 -11.4334010993 550.156456042 859.63683354 546.87709785 857.193732437 546.5 857.0 534 559 853 861 6.69064044952 1.84388387203 0.0608327612281 6.50689145234 6.4315442851 yes 20.0828571429 20.5917403625 33892.5195312 yes 2013-08-05-0.00193287037109
111997 1735071p 21.879 13.0439166667 21.8789611996 13.044012557 283.649270307 852.433033206 282.936346253 850.560786146 284.0 851.0 279 289 844 858 3.29141736031 1.70820450783 1.33547961712 2.64408088514 2.81344372596 yes 20.316 20.2157273685 51869.140625 yes 2014-08-23-0.00193420138748
111997 1735083p 21.8812083333 13.0365555556 21.8811657041 13.0366541223 320.052453979 853.338792617 319.267591207 851.415132588 319.5 851.5 314 325 843 860 3.55236363411 2.08665347099 1.33405184746 2.66027269376 2.8749199434 yes 20.316 20.2058356329 51959.59375 yes 2014-08-23-0.00193622685038
111997 1736161p 22.0470416667 12.3896388889 22.0471257491 12.3896132813 135.22816992 45.3131242417 133.631548743 44.800307105 133.5 45.0 129 138 37 53 3.62770652771 1.91843366623 1.46513366699 2.91745206904 3.07893925232 yes 20.316 20.0950620703 54799.3203125 yes 2014-08-27-0.00193385416787
111997 1736198p 22.04925 12.3638888889 22.0493229221 12.3638564901 98.5193178681 881.303786341 97.1327611963 880.660972135 97.0 880.5 94 100 874 887 3.23085045815 1.37037456036 1.54657101631 2.96223022803 2.92582778837 yes 20.316 20.3380084565 39700.5585938 yes 2014-08-27-0.00193420138748
116757 1671648p 11.6174166667 2.78758333333 11.6174909336 2.78740142909 546.397275071 499.030668411 544.994296819 495.489130987 545.5 496.0 539 552 484 508 5.11471652985 1.78100919724 1.30605018139 4.2668060078 4.79461483542 yes 18.94 18.6468061875 196642.5625 yes 2013-11-27-0.00193472222236
116757 1671658p 11.6142083333 2.79880555556 11.6143051107 2.79862953348 559.939543168 498.387979387 558.099704429 494.96218093 558.0 495.0 551 565 483 507 5.23000860214 1.91066277027 1.30893814564 4.26126569578 4.86850672761 yes 18.94 18.6501866427 195850.796875 yes 2013-11-27-0.00193506944561
118381 1681665p 21.1334583333 13.3287777778 21.1334826936 13.3286332969 778.585790437 903.766849697 778.148540867 900.958339072 778.0 901.0 772 784 891 911 4.82461309433 1.85425198078 -1.16494131088 4.05511906467 4.45405894682 yes 19.71 19.9348072335 55985.6992188 yes 2013-12-29-0.0019339120372
118381 1681849p 21.263125 13.5780555556 21.2631890611 13.577930553 418.832478137 869.315146048 417.637735145 866.901202606 417.5 867.0 411 424 857 877 4.94707632065 2.05678606033 -1.10563647747 4.12256807782 4.49924385029 yes 19.71 19.8259748146 60870.9492188 yes 2013-12-30-0.00193622685401
124112 1691671p 213.084041667 -12.3714444444 213.08397172 -12.3713991763 431.249901517 902.162570568 429.912988979 901.284404664 430.0 901.5 422 438 893 910 4.92664718628 1.84879660606 -0.760789573193 4.2586904541 4.5665965015 yes 19.84 19.8248752596 56396.2070312 yes 2014-02-24-0.00193535879953
124112 1691904p 213.268791667 -12.1801666667 213.268743986 -12.1801664237 940.431568094 918.588166587 939.528031333 918.578717487 939.0 918.5 931 947 910 927 4.91273450851 1.70779168606 -0.854543924332 4.27027076843 4.60634431064 yes 19.84 19.8241401189 75014.28125 yes 2014-02-25-0.00193530092656
124112 1692177p 213.643333333 -11.7405833333 213.643338485 -11.7406652632 860.912332471 859.942109139 860.813028583 858.352556312 860.5 858.5 853 868 849 868 5.08902645111 1.72167897224 -0.949588239193 4.32970716404 4.78894682959 yes 19.84 19.7594703607 66162.4921875 yes 2014-02-27-0.00193680555822
129991 1705709p 238.667208333 -12.2958333333 238.667482504 -12.2958475991 485.442609449 878.060612906 480.24732599 877.733300501 480.5 878.0 466 495 870 886 7.63153553009 1.96205198765 -0.366509139538 6.45981096875 7.37500417253 yes 18.64 19.4720108337 90197.7421875 yes 2014-05-05-0.00193449074141
129991 1705710p 238.6655 -12.2965 238.665700055 -12.2965531821 514.860758854 878.727464247 511.071423829 877.656237371 511.0 877.5 497 525 870 885 7.46840572357 1.73722100258 -0.370634168386 6.46030667697 7.26354921785 yes 18.64 19.5203233681 86272.15625 yes 2014-05-05-0.00197528935314
129991 1705892p 238.319958333 -12.4375555556 238.320090971 -12.4374456121 45.2931723214 783.10544791 47.8051055444 780.972586331 47.5 781.0 34 61 774 788 7.51885652542 1.33357560635 -0.381206214428 6.5548868476 7.39964725862 yes 18.64 19.0217711487 148488.0625 yes 2014-05-06-0.00193651620066
139620 1774679p 17.2263333333 3.59919444444 17.22625018 3.59925677287 117.210481094 360.147182282 115.604327033 358.932675576 112.0 359.5 92 132 355 364 10.5421037674 1.48276555538 -0.12096093595 9.81146126985 10.4373060773 yes 20.115 20.7312163452 48923.0429688 yes 2015-01-17-0.00254033564852
147436 1645182p 242.468625 -13.5615555556 242.468521697 -13.5615264766 328.119987454 388.979448433 326.165606658 388.406860889 326.0 388.5 317 335 382 395 4.22972679138 2.07817053795 -0.381920158863 3.218939259 3.6839918492 yes 19.75875 20.0418530193 64277.4726562 yes 2013-08-02-0.00193362268692
147436 1645708p 243.091708333 -13.362 243.091591673 -13.3619478594 816.336926583 486.274923556 814.138900335 485.261976676 814.0 485.5 804 824 479 492 4.4897608757 2.2499461174 -0.319323331118 3.45137754143 3.88531790074 yes 19.75875 19.851387297 73020.546875 yes 2013-08-05-0.00193379629491
147436 1645961p 243.530541667 -13.2466111111 243.530527263 -13.2466740572 871.286253209 172.053761448 871.563040688 170.834026594 871.5 171.0 862 881 166 176 4.37299537659 1.7337127924 -0.25853317976 3.59068116104 4.01463927609 yes 19.75875 19.7092262549 68031.4140625 yes 2013-08-07-0.00193350694462
147436 1645962p 243.531583333 -13.2463611111 243.531556106 -13.2464105198 851.252415369 177.447923822 851.770330182 176.489561778 852.0 176.0 843 861 171 181 4.39057779312 1.61693549156 -0.278930068016 3.59295014636 4.0819961996 yes 19.75875 19.7183210112 58758.6210938 yes 2013-08-07-0.00197442129502
147436 1645963p 243.53275 -13.2460555556 243.532747897 -13.24610422 840.390246394 155.807720617 840.433610674 154.865349221 840.5 155.0 831 850 150 160 4.2717461586 1.73569417 -0.258971065283 3.59586953943 3.90322699721 yes 19.75875 19.6977278264 57346.7578125 yes 2013-08-07-0.00197557870342
147436 1645964p 243.533916667 -13.24575 243.533903428 -13.2458042222 807.304833947 189.702957199 807.558854885 188.652365933 807.5 188.5 799 816 184 193 4.07782745361 1.81509184837 -0.233363643289 3.59896372636 3.65159120431 yes 19.75875 19.7138297431 42118.0351562 yes 2013-08-07-0.00197534722247
147436 1646362p 243.995833333 -13.1417777778 243.995812233 -13.1418352477 438.093058419 390.923259651 438.48997318 389.816385765 438.5 390.0 429 448 385 395 4.51639890671 1.80198681355 -0.216697573662 3.74419435601 4.14134067765 yes 19.75875 19.8971107863 68858.203125 yes 2013-08-09-0.0019339120372
159176 1667387p 19.2345833333 12.7925555556 19.2346304589 12.7927156472 797.566709422 856.523625085 798.460204173 853.441245825 800.0 854.0 787 813 838 870 8.13747406006 2.83396410942 -1.06888282299 6.91081209164 7.62804899726 yes 18.585 18.6708536493 186405.421875 yes 2013-10-29-0.00197586805734
159176 1667904p 18.683 11.6817222222 18.6830378637 11.6819229598 116.750167859 868.538132375 117.483191802 864.666610192 117.5 864.0 106 129 846 882 10.167593956 2.13709354401 -1.09045648575 8.93111689176 9.94046266721 yes 18.585 19.1826188529 170197.21875 yes 2013-11-01-0.00251226851833
208874 1671903p 23.4450833333 14.5970555556 23.4451681154 14.5970224794 832.325143099 863.620686862 833.912685843 864.27301708 833.5 864.0 820 847 854 874 7.30385065079 2.25463628769 0.580418050289 6.11414425637 6.94714686323 yes 19.5033333333 19.4682680073 125977.445312 yes 2013-11-29-0.00251377314635
237888 1646366p 244.478083333 -12.5460277778 244.478131719 -12.5459401219 449.728490906 385.308757342 448.795957078 387.026125267 449.0 387.5 442 456 376 399 6.53448724747 1.68074822426 1.07671701908 5.84841852863 6.31463450993 yes 20.745 20.7745099113 31783.0839844 yes 2013-08-09-0.00193362268692
251340 1671730p 22.4063333333 13.9937222222 22.4063998456 13.9937871802 933.872057255 880.669987064 932.607230097 881.91723998 932.5 882.0 927 938 869 895 6.52151012421 1.72653925419 -1.36467730999 5.68587218389 6.28881201054 yes 20.4214285714 20.059233398 61930.7929688 yes 2013-11-28-0.00255190972166
251340 1672408p 22.3535 12.5487222222 22.3534665262 12.5488604175 719.554371299 866.121233579 718.913992326 863.406968052 719.0 863.5 714 724 855 872 4.21533679962 1.9555914402 1.51062428951 3.57165880779 3.73426384355 yes 20.4214285714 20.3535413819 43750.5429688 yes 2013-12-04-0.00193246527851
258019 1646431p 23.8459583333 13.9889444444 23.8459668164 13.9888073953 841.755691349 914.425697606 841.579205418 911.747571482 842.0 911.5 836 848 903 920 4.43241262436 2.0849006176 -1.2236123085 3.77975965824 3.91145383295 yes 20.95 20.6028149079 31599.0507812 yes 2013-08-09-0.00193541666522
258019 1646442p 23.84925 13.9985 23.8492559194 13.9983599271 848.934072503 915.254907899 848.805696673 912.519537779 848.5 913.0 843 854 904 922 4.53051900864 2.01167678833 -1.25600302219 3.762133718 4.05940377234 yes 20.95 20.6433717309 30949.3339844 yes 2013-08-09-0.00193686342755
259970 1667558p 19.57675 12.0685833333 19.5767930986 12.068763363 852.270032673 888.563717073 853.130366365 885.037946373 853.0 885.5 843 863 872 899 7.50957345963 2.40021276474 -0.983561217785 6.39671255292 7.11566386428 yes 19.31 19.5552422601 96628.0234375 yes 2013-10-30-0.00193310185205
