object	expnum	ra	dec	flux	mag	x	y	stars	time	consistent_f	consistent_mag
53687	1616325p	216.971510139	-13.7171320597	195805.9375	18.7184353576	938.824843511	944.662180408	96	56389.4212707	yes	yes
53687	1616325p	216.971510139	-13.7171320597	195805.9375	18.7184353576	938.824843511	944.662180408	96	56389.4212707	yes	yes
53687	1616712p	216.584676097	-13.6484183005	174844.890625	18.6493676357	966.691717498	949.958575758	75	56391.4870713	no	yes
53687	1616325p	216.971510139	-13.7171320597	195805.9375	18.7184353576	938.824843511	944.662180408	96	56389.4212707	yes	yes
53687	1616339p	216.96027721	-13.7152997981	211741.453125	18.695485277	859.400349251	854.533647754	78	56389.4799133	no	yes
53687	1616343p	216.956643591	-13.7146929615	218208.984375	18.6088184302	863.086045454	854.437873253	79	56389.4988705	no	yes
53687	1616712p	216.584676097	-13.6484183005	174844.890625	18.6493676357	966.691717498	949.958575758	75	56391.4870713	no	yes
53687	1616713p	216.582946939	-13.6481213197	169978.46875	18.6130152185	873.155265849	854.608859967	65	56391.495278	yes	yes
53687	1616714p	216.581990406	-13.6479557387	213769.28125	18.6191367574	873.37503447	854.228437064	66	56391.5001157	yes	yes
53687	1616715p	216.58059442	-13.6477137433	210257.21875	18.6321227117	874.510300529	854.900609961	60	56391.507013	yes	yes
53687	1616343p	216.956643574	-13.7146923993	215204.140625	18.6238734423	863.086299602	854.448703815	76	56389.4988705	no	yes
53687	1616712p	216.584675744	-13.6484187834	172533.859375	18.6638141573	966.698425812	949.949270715	75	56391.4870713	no	yes
53687	1616713p	216.582945692	-13.6481223235	165420.234375	18.6425284205	873.178899264	854.589539385	63	56391.495278	yes	yes
53687	1616714p	216.581990601	-13.6479561098	210289.328125	18.6369569164	873.3713889	854.221264041	65	56391.5001157	yes	yes
53687	1616715p	216.580594117	-13.6477148426	207078.171875	18.6486641943	874.516136641	854.879400658	60	56391.507013	yes	yes
53687	1616325p	216.971510139	-13.7171320597	195805.9375	18.7184353576	938.824843511	944.662180408	96	56389.4212707	yes	yes
53687	1616339p	216.96027721	-13.7152997981	211741.453125	18.695485277	859.400349251	854.533647754	78	56389.4799133	no	yes
53687	1616343p	216.956643591	-13.7146929615	218208.984375	18.6088184302	863.086045454	854.437873253	79	56389.4988705	no	yes
53687	1616712p	216.584676097	-13.6484183005	174844.890625	18.6493676357	966.691717498	949.958575758	75	56391.4870713	no	yes
53687	1616713p	216.582946939	-13.6481213197	169978.46875	18.6130152185	873.155265849	854.608859967	65	56391.495278	yes	yes
53687	1616714p	216.581990406	-13.6479557387	213769.28125	18.6191367574	873.37503447	854.228437064	66	56391.5001157	yes	yes
53687	1616715p	216.58059442	-13.6477137433	210257.21875	18.6321227117	874.510300529	854.900609961	60	56391.507013	yes	yes
53687	1616325p	216.971510139	-13.7171320597	195805.9375	18.7184353576	938.824843511	944.662180408	96	56389.4212707	yes	yes
53687	1616339p	216.96027721	-13.7152997981	211741.453125	18.695485277	859.400349251	854.533647754	78	56389.4799133	no	yes
53687	1616343p	216.956643591	-13.7146929615	218208.984375	18.6088184302	863.086045454	854.437873253	79	56389.4988705	no	yes
53687	1616525p	216.770345574	-13.6818045273	208538.578125	18.7000339798	314.328727486	939.043042249	33	56390.5076874	no	yes
53687	1616712p	216.584676097	-13.6484183005	174844.890625	18.6493676357	966.691717498	949.958575758	75	56391.4870713	no	yes
53687	1616713p	216.582946939	-13.6481213197	169978.46875	18.6130152185	873.155265849	854.608859967	65	56391.495278	yes	yes
53687	1616714p	216.581990406	-13.6479557387	213769.28125	18.6191367574	873.37503447	854.228437064	66	56391.5001157	yes	yes
53687	1616715p	216.58059442	-13.6477137433	210257.21875	18.6321227117	874.510300529	854.900609961	60	56391.507013	yes	yes
53687	1616339p	216.96027721	-13.7152997981	211741.453125	18.695485277	859.400349251	854.533647754	78	56389.4799133	yes	yes	-0.697956044166	0.1792732233
53687	1616339p	216.960277188	-13.7152997722	211912.3125	18.6946095231	854.400763455	849.534148627	78	56389.4799133	yes	yes	-0.697875798801	0.179179983951
